receivertwo,verb,verbtwo,receiver,correct,actor,actortwo,color,names,object,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,date,frameRate,expName,session,participant,
hunter,headbutt,rock,chef,1,bandit,bandit,,,,0,0,0,0,,,,,-0.32578125,-0.0788235294118,1,0,0,2.78776192665,,,,,,2015_Oct_13_0646,59.8558654211,attempt,001,,
chef,knockover,knockover,hunter,2,bandit,bandit,,,,0,1,1,1,,,,,0.17109375,-0.0670588235294,1,0,0,5.29873991013,,,,,,2015_Oct_13_0646,59.8558654211,attempt,001,,
ref,rock,headbutt,ref,2,bandit,bandit,,,,0,2,2,2,,,,,0.21875,-0.00823529411765,1,0,0,3.14640402794,,,,,,2015_Oct_13_0646,59.8558654211,attempt,001,,
,On,,,,,,Red,mountie,Stool,,,,,0,0,0,0,,,,,,,0.21171875,-0.0105882352941,1,0,0,2015_Oct_13_0646,59.8558654211,attempt,001,,
,With,,,,,,Red,hunter,Stool,,,,,0,1,1,1,,,,,,,0.21171875,-0.0105882352941,1,0,0,2015_Oct_13_0646,59.8558654211,attempt,001,,
,On,,,,,,Red,hunter,Stool,,,,,0,2,2,2,,,,,,,0.21171875,-0.0105882352941,1,0,0,2015_Oct_13_0646,59.8558654211,attempt,001,,
,Nextto,,,,,,Blue,hunter,Stool,,,,,0,3,3,3,,,,,,,0.21171875,-0.0105882352941,1,0,0,2015_Oct_13_0646,59.8558654211,attempt,001,,
,On,,,,,,Red,mountie,Skateboard,,,,,0,4,4,4,,,,,,,0.21171875,-0.0105882352941,1,0,0,2015_Oct_13_0646,59.8558654211,attempt,001,,
