receivertwo,verb,verbtwo,receiver,correct,actor,actortwo,color,names,object,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,date,frameRate,expName,session,participant,
hunter,headbutt,rock,chef,1,bandit,bandit,,,,0,0,0,0,,,,,0.5015625,0.0247058823529,1,0,0,0.900190114975,,,,,,2015_Oct_13_0650,60.0283088672,attempt,001,,
chef,knockover,knockover,hunter,2,bandit,bandit,,,,0,1,1,1,,,,,0.69375,0.00588235294118,1,0,0,1.24446296692,,,,,,2015_Oct_13_0650,60.0283088672,attempt,001,,
ref,rock,headbutt,ref,2,bandit,bandit,,,,0,2,2,2,,,,,-0.2828125,0.0152941176471,1,0,0,1.33579897881,,,,,,2015_Oct_13_0650,60.0283088672,attempt,001,,
,On,,,,,,Red,mountie,Stool,,,,,0,0,0,0,,,,,,,-0.04375,-0.0270588235294,1,0,0,2015_Oct_13_0650,60.0283088672,attempt,001,,
,With,,,,,,Red,hunter,Stool,,,,,0,1,1,1,,,,,,,-0.14140625,0.0611764705882,1,0,0,2015_Oct_13_0650,60.0283088672,attempt,001,,
,On,,,,,,Red,hunter,Stool,,,,,0,2,2,2,,,,,,,-0.09609375,0.0517647058824,1,0,0,2015_Oct_13_0650,60.0283088672,attempt,001,,
,Nextto,,,,,,Blue,hunter,Stool,,,,,0,3,3,3,,,,,,,-0.09609375,0.0494117647059,1,0,0,2015_Oct_13_0650,60.0283088672,attempt,001,,
,On,,,,,,Red,mountie,Skateboard,,,,,0,4,4,4,,,,,,,-0.09609375,0.0494117647059,1,0,0,2015_Oct_13_0650,60.0283088672,attempt,001,,
