receivertwo,verb,verbtwo,receiver,correct,actor,actortwo,color,names,object,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,date,frameRate,expName,session,participant,
hunter,headbutt,rock,chef,1,bandit,bandit,,,,0,0,0,0,,,,,0.16328125,0.0188235294118,1,0,0,3.64860105515,,,,,,2015_Oct_13_0645,60.1630624996,attempt,001,,
chef,knockover,knockover,hunter,2,bandit,bandit,,,,0,1,1,1,,,,,0.16328125,0.0176470588235,1,0,0,4.4653968811,,,,,,2015_Oct_13_0645,60.1630624996,attempt,001,,
ref,rock,headbutt,ref,2,bandit,bandit,,,,0,2,2,2,,,,,-0.41796875,-0.00941176470588,1,0,0,3.11458706856,,,,,,2015_Oct_13_0645,60.1630624996,attempt,001,,
,On,,,,,,Red,mountie,Stool,,,,,0,0,0,0,,,,,,,-0.35234375,-0.0294117647059,1,0,0,2015_Oct_13_0645,60.1630624996,attempt,001,,
,With,,,,,,Red,hunter,Stool,,,,,0,1,1,1,,,,,,,-0.35234375,-0.0305882352941,1,0,0,2015_Oct_13_0645,60.1630624996,attempt,001,,
,On,,,,,,Red,hunter,Stool,,,,,0,2,2,2,,,,,,,-0.35234375,-0.0305882352941,1,0,0,2015_Oct_13_0645,60.1630624996,attempt,001,,
,Nextto,,,,,,Blue,hunter,Stool,,,,,0,3,3,3,,,,,,,-0.35234375,-0.0305882352941,1,0,0,2015_Oct_13_0645,60.1630624996,attempt,001,,
,On,,,,,,Red,mountie,Skateboard,,,,,0,4,4,4,,,,,,,-0.35234375,-0.0317647058824,1,0,0,2015_Oct_13_0645,60.1630624996,attempt,001,,
