verb,actor,reciever,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,date,frameRate,expName,session,participant,
headbutt,bandit,chef,0,0,0,0,None,2015_Oct_12_2341,59.9886438887,try,001,,
knockover,bandit,hunter,0,1,1,1,None,2015_Oct_12_2341,59.9886438887,try,001,,
