verb,actor,reciever,color,names,object,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,date,frameRate,expName,session,participant,
headbutt,bandit,chef,,,,0,0,0,0,,,,,-0.08359375,0.0576470588235,1,0,0,4.24402785301,,,,,,2015_Oct_13_0603,59.997739877,attempt,001,,
knockover,bandit,hunter,,,,0,1,1,1,,,,,-0.0828125,0.0541176470588,1,0,0,3.13192200661,,,,,,2015_Oct_13_0603,59.997739877,attempt,001,,
rock,bandit,ref,,,,0,2,2,2,,,,,-0.0828125,0.0541176470588,1,0,0,1.64901185036,,,,,,2015_Oct_13_0603,59.997739877,attempt,001,,
On,,,Red,mountie,Stool,,,,,0,0,0,0,,,,,,,-0.0828125,0.0541176470588,1,0,0,2015_Oct_13_0603,59.997739877,attempt,001,,
With,,,Red,hunter,Stool,,,,,0,1,1,1,,,,,,,-0.0828125,0.0541176470588,1,0,0,2015_Oct_13_0603,59.997739877,attempt,001,,
On,,,Red,hunter,Stool,,,,,0,2,2,2,,,,,,,-0.0828125,0.0529411764706,1,0,0,2015_Oct_13_0603,59.997739877,attempt,001,,
Nextto,,,Blue,hunter,Stool,,,,,0,3,3,3,,,,,,,-0.0828125,0.0517647058824,1,0,0,2015_Oct_13_0603,59.997739877,attempt,001,,
On,,,Red,mountie,Skateboard,,,,,0,4,4,4,,,,,,,-0.0828125,0.0505882352941,1,0,0,2015_Oct_13_0603,59.997739877,attempt,001,,
