receivertwo,verb,verbtwo,receiver,correct,actor,actortwo,color,names,object,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,date,frameRate,expName,session,participant,
hunter,headbutt,rock,chef,1,bandit,bandit,,,,0,0,0,0,,,,,-0.42890625,0.169411764706,1,0,0,1.95176815987,,,,,,2015_Oct_13_0649,60.1200306742,attempt,001,,
chef,knockover,knockover,hunter,2,bandit,bandit,,,,0,1,1,1,,,,,0.24140625,0.218823529412,1,0,0,3.98162293434,,,,,,2015_Oct_13_0649,60.1200306742,attempt,001,,
ref,rock,headbutt,ref,2,bandit,bandit,,,,0,2,2,2,,,,,-0.29921875,0.0435294117647,1,0,0,2.36527609825,,,,,,2015_Oct_13_0649,60.1200306742,attempt,001,,
,On,,,,,,Red,mountie,Stool,,,,,0,0,0,0,,,,,,,-0.11015625,0.0447058823529,1,0,0,2015_Oct_13_0649,60.1200306742,attempt,001,,
,With,,,,,,Red,hunter,Stool,,,,,0,1,1,1,,,,,,,-0.11015625,0.0447058823529,1,0,0,2015_Oct_13_0649,60.1200306742,attempt,001,,
,On,,,,,,Red,hunter,Stool,,,,,0,2,2,2,,,,,,,-0.11015625,0.0447058823529,1,0,0,2015_Oct_13_0649,60.1200306742,attempt,001,,
,Nextto,,,,,,Blue,hunter,Stool,,,,,0,3,3,3,,,,,,,-0.11015625,0.0447058823529,1,0,0,2015_Oct_13_0649,60.1200306742,attempt,001,,
,On,,,,,,Red,mountie,Skateboard,,,,,0,4,4,4,,,,,,,-0.11015625,0.0447058823529,1,0,0,2015_Oct_13_0649,60.1200306742,attempt,001,,
