verb,actor,reciever,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,date,frameRate,expName,session,participant,
headbutt,bandit,chef,0,0,0,0,right,5.01304006577,2015_Oct_06_1620,59.8906510816,try,001,,
knockover,bandit,hunter,0,1,1,1,right,5.01250505447,2015_Oct_06_1620,59.8906510816,try,001,,
rock,bandit,ref,0,2,2,2,right,5.01549983025,2015_Oct_06_1620,59.8906510816,try,001,,
headbutt,bandit,chef,1,0,3,0,right,5.0127120018,2015_Oct_06_1620,59.8906510816,try,001,,
