verb,actor,reciever,color,names,object,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,date,frameRate,expName,session,participant,
headbutt,bandit,chef,,,,0,0,0,0,,,,,0.02421875,0.169411764706,1,0,0,0.594217061996,,,,,,2015_Oct_13_0617,59.8325551671,attempt,001,,
knockover,bandit,hunter,,,,0,1,1,1,,,,,0.02421875,0.169411764706,1,0,0,0.513164043427,,,,,,2015_Oct_13_0617,59.8325551671,attempt,001,,
rock,bandit,ref,,,,0,2,2,2,,,,,0.02265625,0.169411764706,1,0,0,1.20096516609,,,,,,2015_Oct_13_0617,59.8325551671,attempt,001,,
On,,,Red,mountie,Stool,,,,,0,0,0,0,,,,,,,0.021875,0.169411764706,1,0,0,2015_Oct_13_0617,59.8325551671,attempt,001,,
With,,,Red,hunter,Stool,,,,,0,1,1,1,,,,,,,0.021875,0.169411764706,1,0,0,2015_Oct_13_0617,59.8325551671,attempt,001,,
On,,,Red,hunter,Stool,,,,,0,2,2,2,,,,,,,0.021875,0.169411764706,1,0,0,2015_Oct_13_0617,59.8325551671,attempt,001,,
Nextto,,,Blue,hunter,Stool,,,,,0,3,3,3,,,,,,,0.021875,0.168235294118,1,0,0,2015_Oct_13_0617,59.8325551671,attempt,001,,
On,,,Red,mountie,Skateboard,,,,,0,4,4,4,,,,,,,0.02109375,0.168235294118,1,0,0,2015_Oct_13_0617,59.8325551671,attempt,001,,
