receivertwo,verb,verbtwo,receiver,correct,actor,actortwo,color,names,object,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,date,frameRate,expName,session,participant,
hunter,headbutt,rock,chef,1,bandit,bandit,,,,0,0,0,0,,,,,-0.0125,-0.00470588235294,1,0,0,3.62767720222,,,,,,2015_Oct_13_0630,60.0121618122,attempt,001,,
chef,knockover,knockover,hunter,2,bandit,bandit,,,,0,1,1,1,,,,,-0.29375,-0.0258823529412,1,0,0,3.41486501694,,,,,,2015_Oct_13_0630,60.0121618122,attempt,001,,
ref,rock,headbutt,ref,2,bandit,bandit,,,,0,2,2,2,,,,,-0.28671875,-0.0282352941176,1,0,0,2.06544184685,,,,,,2015_Oct_13_0630,60.0121618122,attempt,001,,
,On,,,,,,Red,mountie,Stool,,,,,0,0,0,0,,,,,,,-0.1109375,-0.0329411764706,1,0,0,2015_Oct_13_0630,60.0121618122,attempt,001,,
,With,,,,,,Red,hunter,Stool,,,,,0,1,1,1,,,,,,,-0.1109375,-0.0352941176471,1,0,0,2015_Oct_13_0630,60.0121618122,attempt,001,,
,On,,,,,,Red,hunter,Stool,,,,,0,2,2,2,,,,,,,-0.0234375,-0.04,1,0,0,2015_Oct_13_0630,60.0121618122,attempt,001,,
,Nextto,,,,,,Blue,hunter,Stool,,,,,0,3,3,3,,,,,,,-0.0234375,-0.0423529411765,1,0,0,2015_Oct_13_0630,60.0121618122,attempt,001,,
,On,,,,,,Red,mountie,Skateboard,,,,,0,4,4,4,,,,,,,-0.02421875,-0.0423529411765,1,0,0,2015_Oct_13_0630,60.0121618122,attempt,001,,
