4.0181 	EXP 	Imported test.csv as conditions, 3 conditions, 11 params
4.0186 	EXP 	Created sequence: random, trialTypes=3, nReps=5, seed=None
4.0192 	EXP 	New trial (rep=0, index=0): {'receivertwo': u'ref', 'soundverb': u'doakla', 'verbtwo': u'headbutt', 'welcometext': u'My name is alien the alien and I will be showing you some experiments today', 'actor': u'bandit', 'verb': u'rock', 'receiver': u'ref', 'soundreceiver': u'barsu', 'correct': 2, 'soundactor': u'kyse', 'actortwo': u'bandit'}
4.0488 	EXP 	TextStim: autoLog = None
4.0488 	EXP 	TextStim: units = None
4.0488 	EXP 	TextStim: useShaders = None
4.0488 	EXP 	TextStim: depth = None
4.0488 	EXP 	TextStim: ori = None
4.0488 	EXP 	TextStim: pos = None
4.0488 	EXP 	TextStim: colorSpace = None
4.0488 	EXP 	TextStim: opacity = None
4.0488 	EXP 	TextStim: contrast = None
4.0488 	EXP 	ImageStim: autoLog = None
4.0488 	EXP 	ImageStim: units = None
4.0488 	EXP 	ImageStim: useShaders = None
4.0488 	EXP 	ImageStim: size = None
4.0488 	EXP 	ImageStim: pos = None
4.0488 	EXP 	ImageStim: ori = None
4.0488 	EXP 	ImageStim: depth = None
4.0488 	EXP 	ImageStim: contrast = None
4.0488 	EXP 	ImageStim: opacity = None
4.0488 	EXP 	TextStim: autoLog = None
4.0488 	EXP 	TextStim: units = None
4.0488 	EXP 	TextStim: useShaders = None
4.0488 	EXP 	TextStim: depth = None
4.0488 	EXP 	TextStim: ori = None
4.0488 	EXP 	TextStim: pos = None
4.0488 	EXP 	TextStim: colorSpace = None
4.0488 	EXP 	TextStim: opacity = None
4.0488 	EXP 	TextStim: contrast = None
4.0488 	EXP 	TextStim: autoDraw = None
4.0488 	EXP 	ImageStim: autoDraw = None
6.9677 	DATA 	Mouse: Left button down, pos=(1261,625)
7.0006 	EXP 	TextStim: autoDraw = None
7.0006 	EXP 	ImageStim: autoDraw = None
7.0006 	EXP 	Set text_2 text=My name is alien the alien and I will be showing you some experiments today
7.0006 	EXP 	TextStim: autoDraw = None
7.0844 	DATA 	Mouse: Left button up, pos=(1261,625)
7.9684 	EXP 	New trial (rep=0, index=1): {'receivertwo': u'hunter', 'soundverb': u'forp', 'verbtwo': u'rock', 'welcometext': u'My name is alien the alien and I will be showing you some experiments today', 'actor': u'bandit', 'verb': u'headbutt', 'receiver': u'chef', 'soundreceiver': u'doakla', 'correct': 1, 'soundactor': u'barsu', 'actortwo': u'bandit'}
7.9846 	EXP 	TextStim: autoDraw = None
7.9846 	EXP 	TextStim: autoDraw = None
7.9846 	EXP 	ImageStim: autoDraw = None
9.3361 	DATA 	Mouse: Left button down, pos=(1261,625)
9.3689 	EXP 	TextStim: autoDraw = None
9.3689 	EXP 	ImageStim: autoDraw = None
9.3689 	EXP 	Set text_2 text=My name is alien the alien and I will be showing you some experiments today
9.3689 	EXP 	TextStim: autoDraw = None
9.4531 	DATA 	Mouse: Left button up, pos=(1261,625)
10.3370 	EXP 	New trial (rep=0, index=2): {'receivertwo': u'chef', 'soundverb': u'moship', 'verbtwo': u'knockover', 'welcometext': u'My name is alien the alien and I will be showing you some experiments today', 'actor': u'bandit', 'verb': u'knockover', 'receiver': u'hunter', 'soundreceiver': u'doakla', 'correct': 2, 'soundactor': u'barsu', 'actortwo': u'bandit'}
10.3529 	EXP 	TextStim: autoDraw = None
10.3529 	EXP 	TextStim: autoDraw = None
10.3529 	EXP 	ImageStim: autoDraw = None
10.7246 	DATA 	Mouse: Left button down, pos=(1261,625)
10.8677 	DATA 	Mouse: Left button up, pos=(1261,625)
10.8868 	EXP 	TextStim: autoDraw = None
10.8868 	EXP 	ImageStim: autoDraw = None
10.8868 	EXP 	Set text_2 text=My name is alien the alien and I will be showing you some experiments today
10.8868 	EXP 	TextStim: autoDraw = None
11.8550 	EXP 	New trial (rep=1, index=0): {'receivertwo': u'hunter', 'soundverb': u'forp', 'verbtwo': u'rock', 'welcometext': u'My name is alien the alien and I will be showing you some experiments today', 'actor': u'bandit', 'verb': u'headbutt', 'receiver': u'chef', 'soundreceiver': u'doakla', 'correct': 1, 'soundactor': u'barsu', 'actortwo': u'bandit'}
11.8713 	EXP 	TextStim: autoDraw = None
11.8713 	EXP 	TextStim: autoDraw = None
11.8713 	EXP 	ImageStim: autoDraw = None
12.1645 	DATA 	Mouse: Left button down, pos=(1261,625)
12.3004 	DATA 	Mouse: Left button up, pos=(1261,625)
14.0727 	DATA 	Mouse: Left button down, pos=(882,824)
14.1062 	EXP 	TextStim: autoDraw = None
14.1062 	EXP 	ImageStim: autoDraw = None
14.1062 	EXP 	Set text_2 text=My name is alien the alien and I will be showing you some experiments today
14.1062 	EXP 	TextStim: autoDraw = None
14.1564 	DATA 	Mouse: Left button up, pos=(882,824)
14.5902 	DATA 	Mouse: Left button down, pos=(882,824)
14.7240 	DATA 	Mouse: Left button up, pos=(882,824)
15.0740 	EXP 	New trial (rep=1, index=1): {'receivertwo': u'chef', 'soundverb': u'moship', 'verbtwo': u'knockover', 'welcometext': u'My name is alien the alien and I will be showing you some experiments today', 'actor': u'bandit', 'verb': u'knockover', 'receiver': u'hunter', 'soundreceiver': u'doakla', 'correct': 2, 'soundactor': u'barsu', 'actortwo': u'bandit'}
15.0901 	EXP 	TextStim: autoDraw = None
15.0901 	EXP 	TextStim: autoDraw = None
15.0901 	EXP 	ImageStim: autoDraw = None
15.3785 	DATA 	Mouse: Left button down, pos=(882,824)
15.3787 	DATA 	Mouse: Left button up, pos=(882,824)
16.2979 	DATA 	Keypress: 1
16.8085 	DATA 	Keypress: escape
