verb,actor,reciever,color,names,object,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,date,frameRate,expName,session,participant,
headbutt,bandit,chef,,,,0,0,0,0,,,,,-0.24375,0.108235294118,1,0,0,4.13430786133,,,,,,2015_Oct_13_0623,59.874150631,attempt,001,,
knockover,bandit,hunter,,,,0,1,1,1,,,,,0.3015625,0.0105882352941,1,0,0,3.59871292114,,,,,,2015_Oct_13_0623,59.874150631,attempt,001,,
rock,bandit,ref,,,,0,2,2,2,,,,,0.3015625,0.00941176470588,1,0,0,1.49886393547,,,,,,2015_Oct_13_0623,59.874150631,attempt,001,,
On,,,Red,mountie,Stool,,,,,0,0,0,0,,,,,,,0.10703125,-0.00352941176471,1,0,0,2015_Oct_13_0623,59.874150631,attempt,001,,
With,,,Red,hunter,Stool,,,,,0,1,1,1,,,,,,,0.1078125,-0.00823529411765,1,0,0,2015_Oct_13_0623,59.874150631,attempt,001,,
On,,,Red,hunter,Stool,,,,,0,2,2,2,,,,,,,0.1078125,-0.00823529411765,1,0,0,2015_Oct_13_0623,59.874150631,attempt,001,,
Nextto,,,Blue,hunter,Stool,,,,,0,3,3,3,,,,,,,0.1078125,-0.00823529411765,1,0,0,2015_Oct_13_0623,59.874150631,attempt,001,,
On,,,Red,mountie,Skateboard,,,,,0,4,4,4,,,,,,,0.1078125,-0.00823529411765,1,0,0,2015_Oct_13_0623,59.874150631,attempt,001,,
