color,verb,names,object,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,date,frameRate,expName,session,participant,
Red,On,mountie,Stool,0,0,0,0,-0.03359375,-0.0929411764706,1,0,0,0.576303005219,2015_Oct_13_0531,60.0907456357,attempt,001,,
Red,With,hunter,Stool,0,1,1,1,-0.03515625,-0.0929411764706,1,0,0,0.51300907135,2015_Oct_13_0531,60.0907456357,attempt,001,,
Red,On,hunter,Stool,0,2,2,2,-0.0359375,-0.0929411764706,1,0,0,0.902206897736,2015_Oct_13_0531,60.0907456357,attempt,001,,
Blue,Nextto,hunter,Stool,0,3,3,3,-0.0359375,-0.0929411764706,1,0,0,0.530829906464,2015_Oct_13_0531,60.0907456357,attempt,001,,
Red,On,mountie,Skateboard,0,4,4,4,-0.0359375,-0.0929411764706,1,0,0,0.513271093369,2015_Oct_13_0531,60.0907456357,attempt,001,,
