2.9674 	EXP 	Imported test.csv as conditions, 3 conditions, 11 params
2.9678 	EXP 	Created sequence: random, trialTypes=3, nReps=5, seed=None
2.9683 	EXP 	New trial (rep=0, index=0): {'receivertwo': u'hunter', 'soundverb': u'forp', 'verbtwo': u'rock', 'welcometext': u'hello welcome to the lab. You will be watching videos that will teach us something"', 'actor': u'bandit', 'verb': u'headbutt', 'receiver': u'chef', 'soundreceiver': u'doakla', 'correct': 1, 'soundactor': u'barsu', 'actortwo': u'bandit'}
2.9895 	EXP 	TextStim: autoLog = None
2.9895 	EXP 	TextStim: units = None
2.9895 	EXP 	TextStim: useShaders = None
2.9895 	EXP 	TextStim: depth = None
2.9895 	EXP 	TextStim: ori = None
2.9895 	EXP 	TextStim: pos = None
2.9895 	EXP 	TextStim: colorSpace = None
2.9895 	EXP 	TextStim: opacity = None
2.9895 	EXP 	TextStim: contrast = None
2.9895 	EXP 	ImageStim: autoLog = None
2.9895 	EXP 	ImageStim: units = None
2.9895 	EXP 	ImageStim: useShaders = None
2.9895 	EXP 	ImageStim: size = None
2.9895 	EXP 	ImageStim: pos = None
2.9895 	EXP 	ImageStim: ori = None
2.9895 	EXP 	ImageStim: depth = None
2.9895 	EXP 	ImageStim: contrast = None
2.9895 	EXP 	ImageStim: opacity = None
2.9895 	EXP 	TextStim: autoLog = None
2.9895 	EXP 	TextStim: units = None
2.9895 	EXP 	TextStim: useShaders = None
2.9895 	EXP 	TextStim: depth = None
2.9895 	EXP 	TextStim: ori = None
2.9895 	EXP 	TextStim: pos = None
2.9895 	EXP 	TextStim: colorSpace = None
2.9895 	EXP 	TextStim: opacity = None
2.9895 	EXP 	TextStim: contrast = None
2.9895 	EXP 	TextStim: autoDraw = None
2.9895 	EXP 	ImageStim: autoDraw = None
4.0068 	EXP 	TextStim: autoDraw = None
4.0068 	EXP 	ImageStim: autoDraw = None
4.0068 	EXP 	Set text_2 text=<psychopy.visual.text.TextStim object at 0x1190f8b0>
4.0068 	EXP 	TextStim: autoDraw = None
