color,verb,names,object,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,date,frameRate,expName,session,participant,
Red,On,mountie,Stool,0,0,0,0,right,0.741746902466,2015_Oct_13_0529,59.8659465385,attempt,001,,
Red,With,hunter,Stool,0,1,1,1,right,0.502586841583,2015_Oct_13_0529,59.8659465385,attempt,001,,
Red,On,hunter,Stool,0,2,2,2,right,0.657911062241,2015_Oct_13_0529,59.8659465385,attempt,001,,
