chef,mountie,poke,VSO
mountie,chef,tap,VOS
ref,chef,headbutt,VSO
mountie,bandit,rock,VOS
mountie,bandit,poke,VSO
chef,mountie,stomp,VSO
bandit,mountie,kick,VOS
bandit,ref,poke,VSO
chef,mountie,rock,VOS
mountie,chef,hug,VSO
mountie,chef,kick,VSO
ref,bandit,tap,VOS
chef,ref,tap,VOS
ref,bandit,pickup,VOS
bandit,mountie,pickup,VSO
bandit,mountie,hug,VSO
ref,chef,rock,VOS
bandit,ref,headbutt,VOS
mountie,bandit,stomp,VOS
bandit,ref,stomp,VSO
ref,chef,poke,VSO
chef,ref,pickup,VSO
ref,bandit,hug,VSO
ref,chef,stomp,VOS
bandit,mountie,tap,VOS
ref,bandit,kick,VSO
bandit,ref,rock,VOS
chef,mountie,headbutt,VOS
chef,ref,kick,VOS
mountie,bandit,headbutt,VSO
chef,ref,hug,VSO
mountie,chef,pickup,VOS
